,Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
302,CNN,https://www.cnn.com/2024/06/15/world/video/browder-putin-russia-sanctions-intv-coren-061504aseg2-cnni-world-fast,Western response to 'thugs' like Putin needs to be more aid to Ukraine,Bill Browder explains why the latest sanctions and use of frozen Russian assets to aid Ukraine is not enough to fight Vladimir Putin.,"Jun 15, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
305,CNN,https://www.cnn.com/2024/06/14/world/video/lee-pkg-061403a-seg1cnni-world-fast,G7 leaders agree on $50 billion loan for Ukraine,"MJ Lee reports on the G7 summit, which saw the U.S. and Ukraine signing a major security pact, as well President Biden fielding questions about his son’s conviction.","Jun 14, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
306,CNN,https://www.cnn.com/2024/06/14/world/video/mylovanov-intv-061402a-cnni-world-fast,U.S. signs 10-year security pact with Ukraine,"Anna Coren speaks to Tymofiy Mylovanov, President of the Kyiv School of Economics and former Ukrainian Minister of Economic development about the major security pact signed by the U.S. and Ukraine, and what it could mean for ...","Jun 14, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
307,CNN,https://www.cnn.com/2024/06/14/world/video/tocci-arnaud-aman-web,G7 leaders meet after far right surge in EU elections,"As G7 leaders gather in Italy, Director for Istituto Affari Internazionali Nathalie Tocci and BFMTV journalist Thierry Arnaud tell Christiane Amanpour what the far right surge in EU elections means for Ukraine and the world.","Jun 14, 2024",2024-10-13 13:35:14.878622,Ukraine War,Arnaud Siad,Ukraine,
308,CNN,https://www.cnn.com/2024/06/14/world/video/g7-italy-robertson-pkg-061412aseg1-cnni-world-fast,Ukraine dominates Day One at G7,"Western leaders agree to new measures to support Ukraine and punish Russia at the annual G7 summit. Nic Robertson reports from Monopoli, Italy.","Jun 14, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
310,CNN,https://www.cnn.com/europe/live-news/biden-zelensky-g7-summit-06-13-24/index.html,Biden and Zelensky lay out new US support for Ukraine,US President Joe Biden and Ukrainian President Volodymyr Zelensky signed a new security agreement Thursday as world leaders gathered for the G7 summit in Italy.,"Jun 14, 2024",2024-10-13 13:35:14.878622,Ukraine War,Maureen Chowdhury,Ukraine,
313,CNN,https://www.cnn.com/2024/06/13/world/video/tocci-arnaud-intv-fst-061301pseg1-cnni-world-fast,Some right wing European politicians “more open” to financial support of Ukraine,Christiane Amanpour speaks with political scientist Nathalie Tocci and Senior International Correspondent for the French channel BFMTV about the G7 meeting in Italy.,"Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
314,CNN,https://www.cnn.com/2024/06/13/world/video/g7-leaders-gather-in-italy-with-major-issues-on-the-table,G7 leaders gather in Italy with major issues on the table,"Max Boot joins Fredricka Whitfield to discuss the challenges facing the G7, from the war in Ukraine to the mideast crisis. ","Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
316,CNN,https://www.cnn.com/2024/06/13/world/video/g7-ukraine-loan-56-billion-russian-sanctions-assets-vindman-cnc-digvid,G7 set to loan $56B of Russian profits to Ukraine. Why retired colonel calls it the right move,"According to sources, G7 leaders plan to announce an agreement to loan money to Ukraine backed by the profits from frozen Russian investments. Retired Lt. Col. Alexander Vindman explains why this is a move in the right direction for Ukraine.","Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
318,CNN,https://www.cnn.com/2024/06/13/world/video/ukraine-prisoner-recruits-sebastian-pkg-ldn-digvid,Exclusive video shows inside Ukrainian prison as inmates join frontlines,Ukraine’s latest effort to solve a manpower shortage in their fight against Russia is recruiting prisoners. CNN’s Clare Sebastian reports.,"Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Clare Sebastian,Ukraine,
320,CNN,https://www.cnn.com/2024/06/13/world/video/ukraine-prisoners-enlist-military-sebastian-pkg-061302aseg1-cnni-world-fast,Ukraine offers enlistment-for-parole deal to prisoners,CNN’s Clare Sebastian reports on Kyiv’s newest effort to boost its military manpower: offering Ukrainian prisoners the chance to get early parole by enlisting in the military. ,"Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
324,CNN,https://www.cnn.com/videos/tv/2024/06/12/exp-tsr-todd-russian-warships-visit-cuba.cnn,Putin's warships visit Cuba,"Soon after complaining about US missiles in Ukraine, Putin sends a flagship to Havana that carries hypersonic missiles.","Jun 13, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
326,CNN,https://www.cnn.com/videos/sports/2024/06/11/exp-lewandowski-poland-euros-061107aseg1-cnni-sports-fast.cnn,"Lewandowski, Poland aim to defy odds at Euro 2024","For Poland just to be at this summer’s Euros can, to some extent, already be classified as an achievement. They were the last team to book their ticket to Germany having endured one of their worst qualification campaigns in recent ...","Jun 11, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
328,CNN,https://www.cnn.com/2024/06/10/world/video/the-problem-in-europe-is-the-chaos-of-the-organization-of-elections-says-former-italian-pm,"‘The problem in Europe is the chaos"" of the organization of elections, says Former Italian PM",,"Jun 10, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
329,CNN,https://www.cnn.com/2024/06/10/world/video/european-union-elections-john-rentoul-intv-061002aseg1-cnni-world-fast,Far-right parties projected to win record number of seats in European Parliament,CNN’s Lynda Kinkade talks to The Independent’s John Rentoul about the record gains by Europe’s far-right parties in last week’s EU elections and the fallout we’re already seeing from the results. ,"Jun 10, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
330,CNN,https://www.cnn.com/2024/06/10/world/video/ukraine-russia-su-57-destroyed-rdr-061002aseg2-cnni-world-fast,Ukraine says deep drone strike destroys rare Russian Su-57 stealth fighter,Ukraine’s military says it has destroyed one of Russia’s newest and most advanced fighter jets in a drone strike on a military base deep inside Russia.,"Jun 10, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
332,CNN,https://www.cnn.com/2024/06/09/world/video/russia-stealth-fighter-jet-ukraine-dougherty-hnk-digvid,Ukraine says it damaged a Russian stealth fighter jet. See why expert calls it significant,Ukrainian forces said they successfully destroyed one of Russia’s most advanced combat jets Su-57 in a drone strike on a military base deep inside Russia.,"Jun 10, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
333,CNN,https://www.cnn.com/videos/world/2024/06/09/eu-elections-underway-natasha-lindstaedt-intv-060805aseg2-cnni-world-fast.cnn,How a far-right takeover in Europe may impact US politics,"As voters in 27 countries go to the polls in European Parliament elections, University of Essex Professor Natasha Lindstaedt explains how the ballot could impact US politics, especially if far-right parties do well.","Jun 10, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
336,CNN,https://www.cnn.com/2024/06/09/world/video/russia-economy-vladimir-milov-06093aseg1-cnni-world-fast,Russia's economy hums along despite historic sanctions,Former Russian Deputy Energy Minister Vladimir Milov speaks with CNN’s Anna Coren about the impact of Western sanctions on Russia’s economy and whether recent figures showing economic growth are reliable.  ,"Jun 9, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
338,CNN,https://www.cnn.com/2024/06/08/world/video/eu-elections-underway-natasha-lindstaedt-intv-060805aseg2-cnni-world-fast,How far-right party takeover in Europe would impact US politics,"As voters in 27 countries go to the polls in European Parliament elections, University of Essex Professor Natasha Lindstaedt explains how the ballot could impact U.S. politics, especially if far-right parties do well.","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
339,CNN,https://www.cnn.com/2024/06/08/world/video/ukraine-advocacy-interview-fst-060803aseg1-cnni-world-fast,Harrowing accounts from Ukrainians deported to Russia,"CNN’s Anna Coren talks to Khrystyna Shkudor, from the global advocacy campaign, “Where Are Our People?” about the treatment of Ukrainian prisoners of war and children taken forcibly to Russia.","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
340,CNN,https://www.cnn.com/2024/06/08/world/video/bociurkiw-intv-060801a-seg2-cnni-world-fast,Global support for Ukraine as war rages in Kharkiv and beyond,"Paula Newton speaks to Michael Bociurkiw , Senior Fellow at the Atlantic, about both the U.S. and Europe’s support for Ukraine.","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
341,CNN,https://www.cnn.com/2024/06/08/world/video/deadly-may-ukraine-060801a-seg1-cnni-world-fast,U.N. says May was deadliest month in Ukraine in almost a year,"More than 170 civilians were killed in Ukraine in May, according to the United Nations, the deadliest month in nearly a year.","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
342,CNN,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-06-07-24-intl/index.html,Biden makes the case for democracy after meeting with Zelensky,"President Joe Biden apologized to Volodymyr Zelensky on Friday for aid delays from the US, telling the Ukrainian leader “we’re not going to walk away from you.”","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Christian Edwards,Ukraine,
343,CNN,https://www.cnn.com/videos/world/2024/06/07/biden-supports-ukraine-with-225-million-aid-package-digvid.cnn,Biden reaffirms US support for Ukraine in critical meeting with Zelensky,"President Biden has announced a substantial $225 million aid package to Ukraine, reaffirming the United States’ commitment to supporting the nation.","Jun 8, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
344,CNN,https://www.cnn.com/2024/06/07/world/video/ukraine-military-aid-zelensky-france-visit-malcolm-davis-intv-060703aseg1-cnni-world-fast,France pledges to supply Mirage 2000-5 jets to Ukraine,"France has promised to supply Mirage 2000-5 jets to Ukraine. The nation also wants to train a new brigade of Ukrainian troops to help in the war against Russia. Anna Coren speaks with Malcolm Davis, Senior Analyst with the ...","Jun 7, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
345,CNN,https://www.cnn.com/2024/06/07/politics/video/biden-supports-ukraine-with-225-million-aid-package-digvid,Biden reaffirms US support for Ukraine in critical meeting with Zelensky,"President Biden has announced a substantial $225 million aid package to Ukraine, reaffirming the United States’ commitment to supporting the nation.","Jun 7, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
